title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
300,456,702%,7.0,65,211,46.2%,245,53.8%,"456,082,343",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=468,,,not horror
1917,385,427%,4.3,90,159,41.4%,225,58.6%,"384,576,334",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=549,"https://www.nytimes.com/2020/01/12/movies/1917-box-office-no-1.html#:~:text=Directed%20by%20Sam%20Mendes%20and,make%2C%20not%20including%20marketing%20expenses.",,not horror
2012,791,396%,4.0,200,166,21.0%,625,79.0%,"791,217,826",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=299,,,not horror
101 Dalmatians,321,479%,4.8,67,136,42.5%,185,57.5%,"320,689,294",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=678,"https://en.wikipedia.org/wiki/101_Dalmatians_(1996_film)#:~:text=101%20Dalmatians%20was%20released%20on,highest%2Dgrossing%20film%20of%201996.",,not horror
22 Jump Street,331,663%,6.6,50,192,57.9%,140,42.1%,"331,333,876",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=657,,,not horror
300: Rise of an Empire,338,307%,3.1,110,107,31.6%,231,68.4%,"337,580,051",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=642,,,not horror
A Beautiful Mind,317,546%,5.5,58,171,53.9%,146,46.1%,"316,791,257",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=684,https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),,not horror
A Bug's Life,363,303%,3.0,120,163,44.8%,200,55.2%,"363,258,859",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=589,https://en.wikipedia.org/wiki/A_Bug%27s_Life,,not horror
A Christmas Carol,325,163%,1.6,200,138,42.4%,187,57.6%,"325,286,646",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=669,,,not horror
A Haunted House,60,2406%,24.1,2.5,40.0,66.6%,20.1,33.4%,"60,141,683",2013,2010's,,,,horror
A Quiet Place,341,2006%,20.1,17,188,55.2%,153,44.8%,"340,952,971",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=639,,,horror
A Star Is Born,436,1212%,12.1,36,215,49.4%,221,50.6%,"436,233,122",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=486,,,not horror
Air Force One,315,371%,3.7,85,173,54.9%,142,45.1%,"315,156,409",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=687,https://en.wikipedia.org/wiki/Air_Force_One_(film),,not horror
Aladdin,1051,574%,5.7,183,356,33.8%,695,66.2%,"1,050,693,953",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=240,,,not horror
Aladdin,504,1800%,18.0,28,217,43.1%,287,56.9%,"504,050,219",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=426,https://en.wikipedia.org/wiki/Aladdin_(1992_Disney_film),,not horror
Alice in Wonderland,1025,513%,5.1,200,334,32.6%,691,67.4%,"1,025,468,216",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=246,,,not horror
Alita: Battle Angel,405,238%,2.4,170,86,21.2%,319,78.8%,"404,980,543",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=524,,,not horror
Alvin & the Chipmunks: The Squeakquel,443,591%,5.9,75,220,49.6%,224,50.4%,"443,140,005",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=480,,,not horror
Alvin and the Chipmunks,365,522%,5.2,70,217,59.5%,148,40.5%,"365,352,546",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=586,,,not horror
Alvin and the Chipmunks: Chipwrecked,343,428%,4.3,80,133,38.8%,210,61.2%,"342,695,435",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=636,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_Chipwrecked,,not horror
American Beauty,356,2375%,23.8,15,130,36.5%,226,63.5%,"356,296,601",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=605,"https://en.wikipedia.org/wiki/American_Beauty_(1999_film)#:~:text=It%20was%20the%20second%2Dbest,against%20its%20%2415%2Dmillion%20budget.",,not horror
American Sniper,547,928%,9.3,59,350,64.0%,197,36.0%,"547,459,020",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=397,,,not horror
Angels & Demons,486,324%,3.2,150,133,27.4%,353,72.6%,"485,930,816",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=438,,,not horror
Annabelle,255,3927%,39.3,6.5,84.3,33.0%,171.0,67.0%,"255,273,813",2014,2010's,,,,horror
Annabelle: Creation,306,2039%,20.4,15.0,102.1,33.4%,203.7,66.6%,"305,792,201",2017,2010's,,,,horror
Ant-Man,519,399%,4.0,130,180,34.7%,339,65.3%,"519,311,965",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=422,,,not horror
Ant-Man and the Wasp,623,319%,3.2,195,217,34.8%,406,65.2%,"622,674,139",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=365,,,not horror
Apollo 13,355,683%,6.8,52,174,48.9%,181,51.1%,"355,237,933",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=607,https://en.wikipedia.org/wiki/Apollo_13_(film),,not horror
Aquaman,1149,718%,7.2,160,335,29.2%,813,70.8%,"1,148,528,393",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=224,,,not horror
Armageddon,554,396%,4.0,140,202,36.4%,352,63.6%,"553,709,788",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=394,https://en.wikipedia.org/wiki/Armageddon_(1998_film),,not horror
As Good as It Gets,314,628%,6.3,50,148,47.3%,166,52.7%,"314,178,011",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=690,https://en.wikipedia.org/wiki/As_Good_as_It_Gets,,not horror
Attack of the Clones,654,569%,5.7,115,311,47.5%,343,52.5%,"653,779,970",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=353,https://en.wikipedia.org/wiki/Star_Wars:_Episode_II_%E2%80%93_Attack_of_the_Clones,,not horror
Austin Powers: The Spy Who Shagged Me,312,946%,9.5,33,206,66.0%,106,34.0%,"312,016,928",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=695,https://en.wikipedia.org/wiki/Austin_Powers:_The_Spy_Who_Shagged_Me,,not horror
Avatar,2923,1233%,12.3,237,785,26.9%,"2,138",73.1%,"2,922,917,914",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=200,,,not horror
Avatar 2*,1930,772%,7.7,250,576,31.1%,"1,353",68.9%,"1,478,051,935",2022,2020's,https://www.the-numbers.com/movie/Avatar-The-Way-of-Water-(2022)#tab=summary,https://variety.com/2022/film/news/avatar-2-budget-expensive-2-billion-turn-profit-1235438907/,YES,not horror
Avengers: Age of Ultron,1403,561%,5.6,250,459,32.7%,944,67.3%,"1,402,809,540",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=212,,,not horror
Avengers: Endgame,2798,786%,7.9,356,858,30.7%,"1,939",69.3%,"2,797,501,328",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=201,,,not horror
Avengers: Infinity War,2048,638%,6.4,321,679,33.1%,"1,370",66.9%,"2,048,359,754",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=204,,YES,not horror
Back to the Future,383,2018%,20.2,19,213,55.5%,171,44.5%,"383,336,762",1985,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=553,https://en.wikipedia.org/wiki/Back_to_the_Future,,not horror
Back to the Future II,333,831%,8.3,40,119,35.8%,214,64.2%,"332,500,002",1989,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=654,"https://en.wikipedia.org/wiki/Back_to_the_Future_Part_II#:~:text=The%20film%20was%20produced%20on,sets%20and%20writing%20the%20scripts.",,not horror
Bad Boys for Life,427,474%,4.7,90,206,48.4%,220,51.6%,"426,505,244",2020,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=498,https://en.wikipedia.org/wiki/Bad_Boys_for_Life,,not horror
Bad Grandpa,152,1012%,10.1,15.0,102.0,67.2%,49.8,32.8%,"151,831,537",2013,2010's,,,,not horror
Basic Instinct,353,720%,7.2,49,118,33.4%,235,66.6%,"352,927,224",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=612,https://en.wikipedia.org/wiki/Basic_Instinct,,not horror
Batman,412,857%,8.6,48,251,61.1%,160,38.9%,"411,569,241",1989,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=512,https://en.wikipedia.org/wiki/Batman_(1989_film),,not horror
Batman Begins,374,249%,2.5,150,207,55.4%,167,44.6%,"373,672,993",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=568,https://www.imdb.com/title/tt0372784/,,not horror
Batman Forever,337,337%,3.4,100,184,54.7%,152,45.3%,"336,567,158",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=643,https://en.wikipedia.org/wiki/Batman_Forever,,not horror
Batman v Superman,874,349%,3.5,250,330,37.8%,543,62.2%,"873,637,528",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=276,,,not horror
Beauty and the Beast,1306,816%,8.2,160,504,38.6%,801,61.4%,"1,305,611,599",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=217,,,not horror
Beauty and the Beast,425,1700%,17.0,25,219,51.5%,206,48.5%,"424,967,620",1991,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=500,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(1991_film),,not horror
Beverly Hills Cop,316,2434%,24.3,13,235,74.2%,82,25.8%,"316,360,478",1984,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=685,https://en.wikipedia.org/wiki/Beverly_Hills_Cop,,not horror
Big Hero 6,658,399%,4.0,165,223,33.8%,435,66.2%,"657,869,686",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=349,,,not horror
Black Adam,389,169%,1.7,230,163,43.1%,215,56.9%,"377,736,860",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=561,"https://en.wikipedia.org/wiki/Black_Adam_(film)#:~:text=The%20film%20received%20mixed%20reviews,as%20a%20box%2Doffice%20bomb.",,not horror
Black Panther,1382,674%,6.7,205,700,50.7%,682,49.3%,"1,382,248,826",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=213,,,not horror
Black Panther: Wakanda Forever,676,270%,2.7,250,367,54.4%,309,45.6%,"676,036,389",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=342,https://boundingintocomics.com/2022/12/14/rumor-black-panther-wakanda-forever-needs-a-box-office-total-of-1-billion-to-break-even/,,not horror
Black Swan,329,2534%,25.3,13,107,32.5%,222,67.5%,"329,398,046",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=660,,,not horror
Black Widow,380,190%,1.9,200,184,48.4%,196,51.6%,"379,751,655",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=557,https://en.wikipedia.org/wiki/Black_Widow_(2021_film),,not horror
Blair Witch Project,248,165333%,1653.3,0.15,140,56.4%,108,43.6%,"248,000,000",1999,1990's,https://www.the-numbers.com/movie/Blair-Witch-Project-The#tab=summary,personal communication,,horror
Bohemian Rhapsody,911,1752%,17.5,52,217,23.8%,694,76.2%,"910,809,311",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=265,,,not horror
Bolt,310,207%,2.1,150,114,36.8%,196,63.2%,"309,979,994",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=698,,,not horror
Boyhood,44,1112%,11.1,4.0,25.4,57.0%,19.1,43.0%,"44,495,281",2014,2010's,,,,not horror
Brave,539,291%,2.9,185,237,44.0%,302,56.0%,"538,983,207",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=406,,,not horror
Breaking Dawn - Part 1,712,561%,5.6,127,281,39.5%,431,60.5%,"712,205,856",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=328,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_%E2%80%93_Part_1,,not horror
Breaking Dawn - Part 2,849,624%,6.2,136,292,34.4%,557,65.6%,"848,853,382",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=284,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_%E2%80%93_Part_2,,not horror
Bruce Almighty,485,598%,6.0,81,243,50.1%,242,49.9%,"484,592,874",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=440,https://en.wikipedia.org/wiki/Bruce_Almighty,,not horror
Bumblebee,468,347%,3.5,135,127,27.2%,341,72.8%,"467,989,645",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=458,https://www.google.com/search?q=bumblebee+movie+budget&oq=bumblebee+movie+budget&aqs=chrome..69i57j0i390l3.3975j0j4&sourceid=chrome&ie=UTF-8,,not horror
Call Me By Your Name,42,1191%,11.9,3.5,18.1,43.4%,23.6,56.6%,"41,698,818",2018,2010's,,,,not horror
Captain America: Civil War,1153,461%,4.6,250,408,35.4%,745,64.6%,"1,153,337,496",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=223,,,not horror
Captain America: The First Avenger,371,265%,2.6,140,177,47.7%,194,52.3%,"370,569,774",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=575,,,not horror
Captain America: The Winter Soldier,714,420%,4.2,170,260,36.4%,455,63.6%,"714,421,503",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=327,,,not horror
Captain Marvel,1128,742%,7.4,152,427,37.8%,702,62.2%,"1,128,462,972",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=227,,,not horror
Cars,462,385%,3.8,120,244,52.8%,218,47.2%,"461,991,867",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=463,https://en.wikipedia.org/wiki/Cars_(film),,not horror
Cars 2,560,280%,2.8,200,191,34.2%,368,65.8%,"559,852,396",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=390,,,not horror
Cars 3,384,219%,2.2,175,153,39.8%,231,60.2%,"383,930,656",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=552,,,not horror
Casino Royale,617,411%,4.1,150,167,27.2%,449,72.8%,"616,502,912",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=369,https://www.imdb.com/title/tt0381061/,,not horror
Cast Away,430,477%,4.8,90,234,54.4%,196,45.6%,"429,632,142",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=493,"https://en.wikipedia.org/wiki/Cast_Away#:~:text=Cast%20Away%20kept%20performing%20well,production%20budget%20of%20%2490%20million.",,not horror
Catch Me If You Can,352,677%,6.8,52,165,46.8%,187,53.2%,"352,114,312",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=617,https://www.google.com/search?q=Catch+Me+If+You+Can+budget&oq=catch+me+&aqs=chrome.0.69i59j46i512j69i57j46i433i512j46i512l2j0i512j46i512j46i131i433i512j0i271.1930j0j4&sourceid=chrome&ie=UTF-8,,not horror
Charlie and the Chocolate Factory,475,317%,3.2,150,206,43.5%,269,56.5%,"474,968,763",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=448,https://en.wikipedia.org/wiki/Charlie_and_the_Chocolate_Factory_(film),,not horror
Chernobyl Diaries,37,3716%,37.2,1.0,18.1,48.8%,19.0,51.2%,"37,157,648",2012,2010's,,,,horror
Chicken Little,314,210%,2.1,150,135,43.1%,179,56.9%,"314,432,837",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=689,https://en.wikipedia.org/wiki/Chicken_Little_(2005_film),,not horror
Chronicle,127,1055%,10.6,12.0,64.6,51.0%,62.1,49.0%,"126,636,097",2012,2010's,,,,not horror
Cinderella,542,571%,5.7,95,201,37.1%,341,62.9%,"542,358,331",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=403,https://en.wikipedia.org/wiki/Cinderella_(2015_American_film),,not horror
Clash of the Titans,493,395%,3.9,125,163,33.1%,330,66.9%,"493,214,993",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=433,,,not horror
Coco,808,359%,3.6,225,210,26.0%,597,74.0%,"807,817,888",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=293,https://en.wikipedia.org/wiki/Coco_(2017_film),,not horror
Crocodile Dundee,328,3282%,32.8,10,175,53.3%,153,46.7%,"328,203,506",1986,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=663,https://en.wikipedia.org/wiki/Crocodile_Dundee,,not horror
Dallas Buyers Club,55,1104%,11.0,5.0,27.3,49.5%,27.9,50.5%,"55,198,285",2013,2010's,,,,not horror
Dances with Wolves,424,1928%,19.3,22,184,43.4%,240,56.6%,"424,208,848",1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=501,https://en.wikipedia.org/wiki/Dances_with_Wolves,,not horror
Dawn of the Planet of the Apes,711,418%,4.2,170,209,29.4%,502,70.6%,"710,644,566",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=330,,,not horror
Deadpool,783,1350%,13.5,58,363,46.4%,420,53.6%,"782,836,791",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=304,,,not horror
Deadpool 2,786,714%,7.1,110,325,41.3%,461,58.7%,"785,896,609",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=303,,,not horror
Deep Impact,349,437%,4.4,80,140,40.2%,209,59.8%,"349,464,664",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=625,https://en.wikipedia.org/wiki/Deep_Impact_(film),,not horror
Despicable Me,543,787%,7.9,69,252,46.3%,292,53.7%,"543,157,985",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=402,,,not horror
Despicable Me 2,971,1245%,12.4,78,368,37.9%,603,62.1%,"970,766,005",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=252,,,not horror
Despicable Me 3,1035,1294%,12.9,80,265,25.6%,770,74.4%,"1,034,800,131",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=243,,,not horror
Die Another Day,432,304%,3.0,142,161,37.3%,271,62.7%,"431,971,116",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=491,https://en.wikipedia.org/wiki/Die_Another_Day,,not horror
Die Hard with a Vengeance,366,407%,4.1,90,100,27.3%,266,72.7%,"366,101,666",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=583,https://www.imdb.com/title/tt0112864/,,not horror
Dinosaur,350,280%,2.8,125,138,39.4%,212,60.6%,"349,822,765",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=623,"https://en.wikipedia.org/wiki/Dinosaur_(2000_film)#:~:text=With%20a%20budget%20of%20%24127.5,for%20its%20lack%20of%20originality.",,not horror
Django Unchained,426,426%,4.3,100,163,38.2%,263,61.8%,"426,074,373",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=499,,,not horror
Don Jon,30,1015%,10.2,3.0,24.5,80.4%,6.0,19.6%,"30,450,756",2013,2010's,,,,not horror
Don’t Breathe,153,1542%,15.4,9.9,89.0,58.3%,63.6,41.7%,"152,697,239",2016,2010's,,,,horror
Dope,18,2569%,25.7,0.700,17.5,97.3%,0.5,2.7%,"17,986,470",2015,2010's,,,,not horror
Downton Abbey,185.9,1094%,10.9,17.0,96.7,52.0%,89.2,48.0%,"185,922,715",2019,2010's,,,,not horror
Dr Strange,678,411%,4.1,165,233,34.3%,445,65.7%,"677,796,076",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=341,,,not horror
Dr Strange: Multiverse of Madness,956,478%,4.8,200,411,43.0%,544,57.0%,"955,775,804",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=258,https://en.wikipedia.org/wiki/Doctor_Strange_in_the_Multiverse_of_Madness,,not horror
Dragon Ball Super: Broly,103.6,1219%,12.2,8.5,30.7,29.6%,72.9,70.4%,"103,627,891",2019,2010's,,,,not horror
Dumbo,353,208%,2.1,170,115,32.5%,239,67.5%,"353,284,621",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=610,,,not horror
Dune,402,244%,2.4,165,108,27.0%,294,73.0%,"401,847,900",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=531,"https://en.wikipedia.org/wiki/Dune_(2021_film)#:~:text=It%20was%20then%20released%20in,production%20budget%20of%20%24165%20million.",,not horror
Dunkirk,527,527%,5.3,100,190,36.0%,337,64.0%,"527,016,307",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=414,,,not horror
E.T.,793,7552%,75.5,10.5,437,55.1%,356,44.9%,"792,910,554",1982,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=297,"https://en.wikipedia.org/wiki/E.T._the_Extra-Terrestrial#:~:text=Filming%20took%20place%20from%20September,were%20designed%20by%20Carlo%20Rambaldi.",,not horror
Edge of Tomorrow,371,208%,2.1,178,100,27.0%,270,73.0%,"370,541,256",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=576,,,not horror
Empire Strikes Back,538,1737%,17.4,31,293,54.4%,246,45.6%,"538,375,067",1980,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=407,https://en.wikipedia.org/wiki/The_Empire_Strikes_Back,YES,not horror
Enchanted,340,401%,4.0,85,128,37.5%,213,62.5%,"340,487,836",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=640,,,not horror
Escape Room,153.4,1705%,17.0,9.0,56.9,37.1%,96.5,62.9%,"153,411,208",2019,2010's,,,,horror
Eternals,402,201%,2.0,200,165,41.0%,237,59.0%,"402,064,899",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=530,https://en.wikipedia.org/wiki/Eternals_(film),,not horror
F9: The Fast Saga,726,363%,3.6,200,173,23.8%,553,76.2%,"726,229,501",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=325,https://www.imdb.com/title/tt5433138/,,not horror
Fantastic Beasts and Where to Find Them,814,407%,4.1,200,234,28.8%,580,71.2%,"814,044,001",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=291,"https://en.wikipedia.org/wiki/Fantastic_Beasts:_The_Secrets_of_Dumbledore#:~:text=Pictures.,of%20the%20Wizarding%20World%20franchise.",,not horror
Fantastic Beasts: The Crimes of Grindelwald,655,327%,3.3,200,160,24.4%,495,75.6%,"654,855,901",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=350,,,not horror
Fantastic Beasts: The Secrets of Dumbledore,405,203%,2.0,200,96,23.7%,309,76.3%,"405,161,334",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=523,"https://en.wikipedia.org/wiki/Fantastic_Beasts:_The_Secrets_of_Dumbledore#:~:text=The%20film%20received%20mixed%20reviews,of%20the%20Wizarding%20World%20franchise.",,not horror
Fantastic Four,334,278%,2.8,120,155,46.4%,179,53.6%,"333,535,934",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=651,,,not horror
Fast & Furious,360,424%,4.2,85,155,43.0%,205,57.0%,"360,366,870",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=596,,,not horror
Fast & Furious 6,789,493%,4.9,160,239,30.3%,550,69.7%,"788,680,968",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=302,,,not horror
Fast Five,626,501%,5.0,125,210,33.5%,416,66.5%,"626,137,675",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=362,,,not horror
Fatal Attraction,320,2287%,22.9,14,157,48.9%,164,51.1%,"320,145,693",1987,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=680,"https://en.wikipedia.org/wiki/Fatal_Attraction#:~:text=The%20film%20became%20a%20huge,grossing%20film%20of%201987%20worldwide.",,not horror
Fifty Shades Darker,382,694%,6.9,55,115,30.0%,267,70.0%,"381,545,846",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=555,,,not horror
Fifty Shades Freed,372,676%,6.8,55,100,27.0%,272,73.0%,"371,985,018",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=572,,,not horror
Fifty Shades of Grey,570,1424%,14.2,40,166,29.2%,403,70.8%,"569,651,467",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=387,,,not horror
Finding Dory,1029,514%,5.1,200,486,47.3%,542,52.7%,"1,028,570,942",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=244,,,not horror
